adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0001164863-19-000036	1164863	ENPRO INDUSTRIES, INC	3050	US	NC	CHARLOTTE	28209	5605 CARNEGIE BOULEVARD	SUITE 500	704-731-1522	US	NC	CHARLOTTE	28209	5605 CARNEGIE BOULEVARD	SUITE 500	US	NC	010573945	ENPRO INDUSTRIES INC	20020111	1-LAF	0	1231	10-Q/A	20190331	2019	Q1	20190802	2019-08-02 14:11:00.0	0	1	npo-20190731.xml	1	
0001164863-19-000037	1164863	ENPRO INDUSTRIES, INC	3050	US	NC	CHARLOTTE	28209	5605 CARNEGIE BOULEVARD	SUITE 500	704-731-1522	US	NC	CHARLOTTE	28209	5605 CARNEGIE BOULEVARD	SUITE 500	US	NC	010573945	ENPRO INDUSTRIES INC	20020111	1-LAF	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 14:41:00.0	0	1	npo-2019630x10xq2_htm.xml	1	
0001172052-19-000023	1172052	SAFETY INSURANCE GROUP INC	6331	US	MA	BOSTON	02110	20 CUSTOM HOUSE STREET		617-951-0600	US	MA	BOSTON	02110	20 CUSTOM HOUSE STREET		US	DE	134181699	SAFETY HOLDINGS INC	20020424	1-LAF	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 16:08:00.0	0	1	saft-20190630x10q_htm.xml	1	
0001174850-19-000052	1174850	NICOLET BANKSHARES INC	6021	US	WI	GREEN BAY	54301	111 N WASHINGTON ST		920 430 1400	US	WI	GREEN BAY	54301	111 N WASHINGTON ST		US	WI	000000000			2-ACC	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 11:59:00.0	0	1	ncbs-20190630.xml	1	
0001174947-19-000949	816956	CONMED CORP	3845	US	NY	UTICA	13502	525 FRENCH ROAD		315-624-3208	US	NY	UTICA	13502	525 FRENCH ROAD		US	NY	160977505			1-LAF	0	1231	8-K	20190731			20190802	2019-08-02 14:09:00.0	0	0	form8k-22581_cnmd_htm.xml	1	
0001174947-19-000951	95029	STURM RUGER & CO INC	3480	US	CT	SOUTHPORT	06490	1 LACEY PLACE		2032597843	US	CT	SOUTHPORT	06490		1 LACEY PLACE	US	DE	060633559			1-LAF	0	1231	8-K	20190731			20190802	2019-08-02 14:42:00.0	1	0	form8k-22582_rgr_htm.xml	1	
0001185185-19-001060	1502152	ANGIOSOMA, INC.	2834	US	TX	HOUSTON	77042	2500 WILCREST DRIVE, 3RD FLOOR		832-781-8521	US	TX	HOUSTON	77042	2500 WILCREST DRIVE, 3RD FLOOR		US	NV	273480481	FIRST TITAN CORP.	20100927	4-NON	0	0930	10-Q	20190630	2019	Q3	20190802	2019-08-02 10:02:00.0	0	1	soan-20190630.xml	1	
0001193125-19-211135	15615	MASTEC INC	1623	US	FL	CORAL GABLES	33134	800 S. DOUGLAS ROAD	12TH FLOOR	3055991800	US	FL	CORAL GABLES	33134	800 S. DOUGLAS ROAD	12TH FLOOR	US	FL	650829355	BURNUP & SIMS INC	19920703	1-LAF	0	1231	8-K	20190731			20190802	2019-08-01 18:37:00.0	0	0	d782702d8k_htm.xml	1	
0001193125-19-211245	1707753	ELASTIC N.V.	7372	NL		AMSTERDAM	1016 ED	KEIZERSGRACHT 281		(650) 458-2620	US	CA	MOUNTAIN VIEW	94040	800 WEST EL CAMINO REAL SUITE 350		NL		000000000	ELASTIC B.V.	20180612	4-NON	0	0430	S-4	20190430			20190802	2019-08-01 21:31:00.0	0	1	estc-20190430.xml	1	
0001193125-19-211428	1385280	CINEMARK HOLDINGS, INC.	7830	US	TX	PLANO	75093	3900 DALLAS PARKWAY	SUITE 500	(972) 665-1000	US	TX	PLANO	75093	3900 DALLAS PARKWAY	SUITE 500	US	DE	205490327			1-LAF	0	1231	8-K	20190731			20190802	2019-08-02 06:45:00.0	0	0	d782115d8k_htm.xml	1	
0001193125-19-211459	1654151	DECIPHERA PHARMACEUTICALS, INC.	2834	US	MA	WALTHAM	02451	500 TOTTEN POND ROAD		781-209-6400	US	MA	WALTHAM	02451	500 TOTTEN POND ROAD		US	DE	200299725	DECIPHERA PHARMACEUTICALS, LLC	20150928	2-ACC	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 07:15:00.0	0	1	dcph-20190630.xml	1	
0001193125-19-211462	892553	CHART INDUSTRIES INC	3443	US	GA	BALL GROUND	30107	3055 TORRINGTON DRIVE		770-721-8800	US	GA	BALL GROUND	30107	3055 TORRINGTON DRIVE		US	DE	341712937			1-LAF	0	1231	8-K	20190731			20190802	2019-08-02 07:18:00.0	1	0	d763973d8k_htm.xml	1	
0001193125-19-211530	64472	GENCOR INDUSTRIES INC	3531	US	FL	ORLANDO	32810	5201 N ORANGE BLOSSOM TRAIL		4072906000	US	FL	ORLANDO	32810	5201 N ORANGE BLOSSOM		US	DE	590933147	MECHTRON INTERNATIONAL CORP	19880128	2-ACC	0	0930	10-Q	20190630	2019	Q3	20190802	2019-08-02 08:43:00.0	0	1	genc-20190630.xml	1	
0001193125-19-211641	853816	LANDSTAR SYSTEM INC	4213	US	FL	JACKSONVILLE	32224	13410 SUTTON PARK DRIVE SOUTH		9043901224	US	FL	JACKSONVILLE	32224	LANDSTAR SYSTEM INC	13410 SUTTON PARK DRIVE SOUTH	US	DE	061313069			1-LAF	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 09:59:00.0	0	1	d753612d10q_htm.xml	1	
0001193125-19-211704	1037868	AMETEK INC/	3621	US	PA	BERWYN	19312	1100 CASSATT ROAD		610-647-2121	US	PA	BERWYN	19312	1100 CASSATT ROAD		US	DE	141682544	AMETEK AEROSPACE PRODUCTS INC	19970415	1-LAF	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 11:07:00.0	0	1	d754327d10q_htm.xml	1	
0001193125-19-211758	1260968	MARLIN BUSINESS SERVICES CORP	6022	US	NJ	MT. LAUREL	08054	300 FELLOWSHIP ROAD		8884799111	US	NJ	MT. LAUREL	08054	300 FELLOWSHIP ROAD				383686388	MARLIN BUSINESS SERVICES INC	20030822	2-ACC	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 12:33:00.0	0	1	mrln-20190630.xml	1	
0001193125-19-211825	783280	DUKE REALTY CORP	6798	US	IN	INDIANAPOLIS	46240	600 EAST 96TH STREET	STE 100	3178086000	US	IN	INDIANAPOLIS	46240	600 EAST 96TH STREET	STE 100	US	IN	351740409	DUKE WEEKS REALTY CORP	19990716	1-LAF	0	1231	8-K	20190731			20190802	2019-08-02 13:17:00.0	1	0	d783248d8k_htm.xml	2	1003410
0001193125-19-212020	1585689	HILTON WORLDWIDE HOLDINGS INC.	7011	US	VA	MCLEAN	22102	7930 JONES BRANCH DRIVE, SUITE 1100		703-883-1000	US	VA	MCLEAN	22102	7930 JONES BRANCH DRIVE, SUITE 1100		US	DE	274384691			1-LAF	0	1231	8-K	20190731			20190802	2019-08-02 16:07:00.0	0	0	d778524d8k_htm.xml	1	
0001193125-19-212023	1443646	BOOZ ALLEN HAMILTON HOLDING CORP	8742	US	VA	MCLEAN	22102	8283 GREENSBORO DRIVE		703-902-5000	US	VA	MCLEAN	22102	8283 GREENSBORO DRIVE		US	DE	000000000	EXPLORER HOLDING CORP	20080821	1-LAF	0		8-K	20190731			20190802	2019-08-02 16:08:00.0	0	0	d754101d8k_htm.xml	1	
0001193125-19-212028	1137789	SEAGATE TECHNOLOGY PLC	3572	IE		DUBLIN 2	00000	38/39 FITZWILLIAM SQUARE		(353) (1) 234-3136	IE		DUBLIN 2	00000	38/39 FITZWILLIAM SQUARE		IE		980648577	SEAGATE TECHNOLOGY	20090330	1-LAF	1	0630	10-K	20190630	2019	FY	20190802	2019-08-02 16:11:00.0	0	1	stx-20190628.xml	1	
0001193125-19-212039	29905	DOVER CORP	3530	US	IL	DOWNERS GROVE	60515	3005 HIGHLAND PARKWAY	SUITE 200	(630) 541-1540	US	IL	DOWNERS GROVE	60515	3005 HIGHLAND PARKWAY	SUITE 200	US	DE	530257888	DOVER CORP	19920703	1-LAF	0	1231	8-K	20190731			20190802	2019-08-02 16:16:00.0	0	0	d732008d8k_htm.xml	1	
0001193125-19-212049	49071	HUMANA INC	6324	US	KY	LOUISVILLE	40202	500 W MAIN ST		5025801000	US	KY	LOUISVILLE	40202	500 W. MAIN ST		US	DE	610647538	EXTENDICARE INC	19740404	1-LAF	0	1231	8-K	20190731			20190802	2019-08-02 16:18:00.0	0	0	d763123d8k_htm.xml	1	
0001193125-19-212051	927653	MCKESSON CORP	5122	US	CA	SAN FRANCISCO	94104	ONE POST ST	MCKESSON PLAZA	4159838300	US	CA	SAN FRANCISCO	94104	ONE POST ST		US	DE	943207296	MCKESSON HBOC INC	19990115	1-LAF	0	0331	8-K	20190731			20190802	2019-08-02 16:18:00.0	0	0	d775886d8k_htm.xml	1	
0001193125-19-212054	4515	AMERICAN AIRLINES INC	4512	US	TX	FT WORTH	76155	4333 AMON CARTER BLVD		8179631234	US	TX	DALLAS FORT WORTH AI	75261-9616	P O BOX 619616 MD5661		US	DE	131502798	AMERICAN AIRWAYS INC	19670629	4-NON	0	1231	8-K	20190731			20190802	2019-08-02 16:19:00.0	0	0	d750205d8k_htm.xml	1	
0001193125-19-212088	1390844	WABCO HOLDINGS INC.	3711	US	MI	AUBURN HILLS	48326-3511	1220 PACIFIC DRIVE		248-270-9299	US	MI	AUBURN HILLS	48326-3511	1220 PACIFIC DRIVE		US	DE	208481962			1-LAF	0	1231	8-K	20190731			20190802	2019-08-02 16:32:00.0	0	0	d748581d8k_htm.xml	1	
0001193125-19-212102	923796	GEO GROUP INC	6798	US	FL	BOCA RATON	33431	4955 TECHNOLOGY WAY		561-893-0101	US	FL	BOCA RATON	33431	4955 TECHNOLOGY WAY		US	FL	650043078	WACKENHUT CORRECTIONS CORP	19940525	1-LAF	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 16:41:00.0	0	1	d759337d10q_htm.xml	1	
0001193125-19-212115	860730	HCA HEALTHCARE, INC.	8062	US	TN	NASHVILLE	37203	ONE PARK PLZ		6153449551	US	TN	NASHVILLE	37203	ONE PARK PLAZA				273865930	HCA HOLDINGS, INC.	20101126	1-LAF	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 16:47:00.0	0	1	d757548d10q_htm.xml	1	
0001193125-19-212140	1572910	PHILLIPS 66 PARTNERS LP	4610	US	TX	HOUSTON	77042	2331 CITYWEST BLVD.		855-283-9237	US	TX	HOUSTON	77042	2331 CITYWEST BLVD.		US	DE	383899432			1-LAF	0	1231	8-K	20190731			20190802	2019-08-02 17:00:00.0	0	0	d784044d8k_htm.xml	1	
0001193125-19-212141	1403752	ZYMEWORKS INC.	2834	CA	BC	VANCOUVER	V6H 3V9	540-1385 WEST 8TH AVENUE		(604) 678-1388	CA	BC	Vancouver	V6H 3V9	540-1385 WEST 8TH AVENUE		CA	BC	000000000	ZYMEWORKS INC	20070620	2-ACC	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 17:03:00.0	0	1	zyme-20190630.xml	1	
0001193125-19-212157	1051470	CROWN CASTLE INTERNATIONAL CORP	6798	US	TX	HOUSTON	77057	1220 AUGUSTA DRIVE	SUITE 600	7135703000	US	TX	HOUSTON	77057	1220 AUGUSTA DRIVE	SUITE 600	US	DE	760470458			1-LAF	0	1231	8-K	20190731			20190802	2019-08-02 17:23:00.0	1	0	d734013d8k_htm.xml	1	
0001193311-19-000036	1193311	ONCOR ELECTRIC DELIVERY CO LLC	4911	US	TX	DALLAS	75202	1616 WOODALL RODGERS FWY		214-486-2000	US	TX	DALLAS	75202	1616 WOODALL RODGERS FWY		US	TX	752967830	ONCOR ELECTRIC DELIVERY CO	20070425	4-NON	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 14:47:00.0	0	1	c311-20190630.xml	1	
0001206774-19-002477	1090009	SOUTHERN FIRST BANCSHARES INC	6021	US	SC	GREENVILLE	29607	100 VERDAE BOULEVARD	SUITE 100	8646799000	US	SC	GREENVILLE	29607	100 VERDAE BOULEVARD	SUITE 100	US	SC	582459561	GREENVILLE FIRST BANCSHARES INC	19990707	2-ACC	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 16:06:00.0	0	1	sfst-20190630.xml	1	
0001213900-19-014436	1758009	QUANTUM COMPUTING INC.	7372	US	VA	LEESBURG	20175	215 DEPOT COURT SE, #215		703-436-2161	US	VA	LEESBURG	20175	215 DEPOT COURT SE, #215		US	DE	824533053			4-NON	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 12:19:00.0	0	1	qubt-20190630.xml	1	
0001213900-19-014457	1582249	RASNA THERAPEUTICS INC.	2834	US	NY	NEW YORK	10170	420 LEXINGTON AVENUE	SUITE 2525	646-396-4087	US	NY	NEW YORK	10170	420 LEXINGTON AVENUE	SUITE 2525	US	NV	392080103	ACTIVE WITH ME INC.	20130723	4-NON	0	0930	10-Q	20190630	2019	Q3	20190802	2019-08-02 14:15:00.0	0	1	rasp-20190630_htm.xml	1	
0001213900-19-014477	1534154	IPSIDY INC.	7372	US	NY	LONG BEACH	11561	670 LONG BEACH BLVD.		516-274-8700	US	NY	LONG BEACH	11561	670 LONG BEACH BLVD.		US	DE	000000000	ID GLOBAL SOLUTIONS CORP	20141014	4-NON	0	1231	S-1/A	20190331			20190802	2019-08-02 16:04:00.0	0	1	idty-20190331.xml	1	
0001213900-19-014505	1428389	BLOX, INC.	4911							604-314-9293	US	NY	NEW YORK	10036	1177 AVENUE OF THE AMERICAS	5TH FLOOR			208530914	NAVA RESOURCES, INC.	20080227	4-NON	0	0331	10-Q	20190630	2020	Q1	20190802	2019-08-02 17:17:00.0	0	1	blxx-20190630.xml	1	
0001230245-19-000077	1230245	PIPER JAFFRAY COMPANIES	6211	US	MN	MINNEAPOLIS	55402	800 NICOLLET MALL, SUITE 1000	MAIL STOP J09S02	(612) 303-6000	US	MN	MINNEAPOLIS	55402	800 NICOLLET MALL, SUITE 1000	MAIL STOP J09S02	US	DE	300168701			1-LAF	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 12:40:00.0	0	1	pjcq2201910q_htm.xml	1	
0001243429-19-000008	1243429	ARCELORMITTAL	3312	LU		GRAND DUCHY OF LUXEMBOURG	00000	24-26, BOULEVARD D?AVRANCHES	L-1160 LUXEMBOURG	35247922151	LU		GRAND DUCHY OF LUXEMBOURG	00000	24-26, BOULEVARD D?AVRANCHES	L-1160 LUXEMBOURG			000000000	ARCELOR	20030618	1-LAF	0	1231	6-K	20190630	2019	Q2	20190802	2019-08-02 12:30:00.0	0	1	mt-30062019x6xkdocument_htm.xml	1	
0001262463-19-000248	1078799	MARIJUANA CO OF AMERICA, INC.	2833	US	CA	ESCONDIDO	92029	1340 WEST VALLEY PARKWAY	SUITE #205	(888) 777-4362	US	CA	ESCONDIDO	92029	1340 WEST VALLEY PARKWAY	SUITE #205	US	UT	870426858	CONVERGE GLOBAL INC/CA	19990806	4-NON	0	1231	10-Q/A	20190331	2019	Q1	20190802	2019-08-02 13:56:00.0	0	1	mcoa-20190331.xml	1	
0001273931-19-000092	1273931	MONEYGRAM INTERNATIONAL INC	7389	US	TX	DALLAS	75201	2828 N. HARWOOD STREET, 15TH FLOOR		2149997640	US	TX	DALLAS	75201	2828 N. HARWOOD STREET, 15TH FLOOR		US	DE	161690064			2-ACC	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 16:51:00.0	0	1	mgi-20190630.xml	1	
0001274494-19-000032	1274494	FIRST SOLAR, INC.	3674	US	AZ	TEMPE	85281	350 WEST WASHINGTON STREET	SUITE 600	(602) 414-9300	US	AZ	TEMPE	85281	350 WEST WASHINGTON STREET	SUITE 600	US	DE	204623678	FIRST SOLAR HOLDINGS LLC	20031229	1-LAF	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-01 19:06:00.0	0	1	fslr10-q06x30x2019_htm.xml	1	
0001280058-19-000034	1280058	BLACKBAUD INC	7372	US	SC	CHARLESTON	29492	65 FAIRCHILD STREET		843-216-6200	US	SC	CHARLESTON	29492	65 FAIRCHILD STREET		US	DE	112617163			1-LAF	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 07:53:00.0	0	1	a2019q210-q_htm.xml	1	
0001283630-19-000125	1283630	AMERICAN CAMPUS COMMUNITIES INC	6798	US	TX	AUSTIN	78738	12700 HILL COUNTRY BOULEVARD	STE T-200	512-732-1000	US	TX	AUSTIN	78738	12700 HILL COUNTRY BOULEVARD	STE T-200	US	MD	760753089			1-LAF	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 14:59:00.0	0	1	a630201910q_htm.xml	2	1357369
0001305773-19-000090	1305773	CONFORMIS INC	3842	US	MA	BILLERICA	01821	600 TECHNOLOGY DRIVE		(781) 345-9001	US	MA	BILLERICA	01821	600 TECHNOLOGY DRIVE		US	DE	000000000	CONFORMIS INC	20041013	2-ACC	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 17:27:00.0	0	1	cfms-20190630.xml	1	
0001316944-19-000113	1316944	FEDERAL HOME LOAN BANK OF SAN FRANCISCO	6111	US	CA	SAN FRANCISCO	94104	333 BUSH STREET, SUITE 2700		(415) 616-1000	US	CA	SAN FRANCISCO	94104	333 BUSH STREET, SUITE 2700		US		946000630			4-NON	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-01 17:40:00.0	0	1	a201910qq2document_htm.xml	1	
0001317630-19-000012	1317630	ITC HOLDINGS CORP.	4911	US	MI	NOVI	48377	27175 ENERGY WAY		248-946-3000	US	MI	NOVI	48377	27175 ENERGY WAY		US	MI	320058047			4-NON	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 06:51:00.0	0	1	itc630201910-q_htm.xml	1	
0001320461-19-000041	1320461	COOPER-STANDARD HOLDINGS INC.	3714	US	MI	NOVI	48375	39550 ORCHARD HILL PLACE DRIVE		248-596-5900	US	MI	NOVI	48375	39550 ORCHARD HILL PLACE DRIVE		US	DE	201945088	CSA ACQUISITION CORP.	20050311	1-LAF	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 16:05:00.0	0	1	cps-q22019x10q_htm.xml	1	
0001320695-19-000141	1320695	TREEHOUSE FOODS, INC.	2030	US	IL	OAK BROOK	60523	2021 SPRING ROAD	SUITE 600	7084831300	US	IL	OAK BROOK	60523	2021 SPRING ROAD	SUITE 600	US	DE	202311383			1-LAF	0	1231	8-K	20190731			20190802	2019-08-02 16:37:00.0	1	0	a8-kproformainformation_htm.xml	1	
0001352081-19-000022	1352081	CARDINAL ETHANOL LLC	2860	US	IN	UNION CITY	47390	1554 N. 600 E.		765-964-3137	US	IN	UNION CITY	47390	1554 N. 600 E.		US	IN	202327916			4-NON	0	0930	10-Q	20190630	2019	Q3	20190802	2019-08-02 11:35:00.0	0	1	card-20190630.xml	1	
0001359841-19-000071	1359841	HANESBRANDS INC.	5600	US	NC	WINSTON-SALEM	27105	1000 EAST HANES MILL ROAD		(336) 519-4400	US	NC	WINSTON-SALEM	27105	1000 EAST HANES MILL ROAD		US	MD	203552316			1-LAF	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 09:15:00.0	0	1	hbi-20190629x10q_htm.xml	1	
0001367644-19-000038	1367644	EMERGENT BIOSOLUTIONS INC.	2834	US	MD	GAITHERSBURG	20879	400 PROFESSIONAL DR, SUITE 400		240-631-3200	US	MD	GAITHERSBURG	20879	400 PROFESSIONAL DR, SUITE 400		US	DE	141902018			1-LAF	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-01 18:25:00.0	0	1	ebs-20190630x10q_htm.xml	1	
0001370637-19-000146	1370637	ETSY INC	7389	US	NY	BROOKLYN	11201	117 ADAMS STREET		718-855-7956	US	NY	BROOKLYN	11201	117 ADAMS STREET		US	DE	000000000			1-LAF	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-01 18:24:00.0	0	1	etsy6301910q_htm.xml	1	
0001370880-19-000029	1370880	FIREEYE, INC.	3577	US	CA	MILPITAS	95035	601 MCCARTHY BLVD		408-321-6300	US	CA	MILPITAS	95035	601 MCCARTHY BLVD		US	DE	201548921	FIREEYE INC	20060728	1-LAF	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 16:14:00.0	0	1	a10-qxfeyex20190630_htm.xml	1	
0001376986-19-000023	1376986	TENNESSEE VALLEY AUTHORITY	4911	US	TN	KNOXVILLE	37902	400 WEST SUMMIT HILL DRIVE		865-632-2101	US	TN	KNOXVILLE	37902	400 WEST SUMMIT HILL DRIVE				620474417			4-NON	0	0930	10-Q	20190630	2019	Q3	20190802	2019-08-01 17:40:00.0	0	1	tve-20190630.xml	1	
0001393905-19-000238	1334589	PLYZER TECHNOLOGIES INC.	1000	CA	ON	TORONTO	M5R 2G3	47 AVENUE RD	SUITE 200	416-929-1806	CA	ON	TORONTO	M5R 2G3	47 AVENUE RD	SUITE 200	US	NV	000000000	ZD VENTURES CORP	20130814	4-NON	0	0331	10-K	20190331	2018	FY	20190802	2019-08-02 13:25:00.0	0	1	plyz-20190331.xml	1	
0001401521-19-000145	1401521	UNITED INSURANCE HOLDINGS CORP.	6331	US	FL	SAINT PETERSBURG	33701	800 2ND AVE S		727-895-7737	US	FL	SAINT PETERSBURG	33701	800 2ND AVE S		US	DE	753241967	FMG ACQUISITION CORP	20070531	2-ACC	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 16:26:00.0	0	1	uihc-20190630.xml	1	
0001402829-19-000036	1402829	ORION GROUP HOLDINGS INC	1600	US	TX	HOUSTON	77034	12000 AEROSPACE SUITE 300		713-852-6500	US	TX	Houston	77034	12000 AEROSPACE SUITE 300				260097459	ORION MARINE GROUP INC	20070612	2-ACC	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-01 18:51:00.0	0	1	orn-20190630.xml	1	
0001404912-19-000022	1404912	KKR & CO. INC.	6282	US	NY	NEW YORK	10019	9 WEST 57TH STREET	SUITE 4200	212-750-8300	US	NY	NEW YORK	10019	9 WEST 57TH STREET	SUITE 4200	US	DE	260426107	KKR & CO. L.P.	20070627	1-LAF	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 16:12:00.0	0	1	kkr-201963010xq_htm.xml	1	
0001410578-19-000636	1320414	SELECT MEDICAL HOLDINGS CORP	8060	US	PA	MECHANICSBURG	17055	C/O SELECT MEDICAL CORP	4714 GETTYSBURG RD	717-972-1100	US	PA	MECHANICSBURG	17055	C/O SELECT MEDICAL CORP	4714 GETTYSBURG RD	US	DE	000000000			1-LAF	0	1231	8-K	20190731			20190802	2019-08-02 06:21:00.0	0	0	tv526604_8k_htm.xml	2	1035688
0001410578-19-000643	1477449	TELADOC HEALTH, INC.	8011	US	NY	PURCHASE	10577	2 MANHATTANVILLE ROAD	SUITE 203	2036352002	US	NY	PURCHASE	10577	2 MANHATTANVILLE ROAD	SUITE 203	US	DE	043705970	TELADOC, INC.	20091123	1-LAF	0	1231	8-K	20190731			20190802	2019-08-02 16:16:00.0	1	0	tv526505_8k_htm.xml	1	
0001421517-19-000048	1421517	ENERGY RECOVERY, INC.	3559	US	CA	SAN LEANDRO	94577	1717 DOOLITTLE DRIVE		(510) 483-7370	US	CA	SAN LEANDRO	94577	1717 DOOLITTLE DRIVE		US	DE	010616867			2-ACC	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 16:31:00.0	0	1	erii-20190630.xml	1	
0001437749-19-015244	1443669	PROTO LABS INC	3440	US	MN	MAPLE PLAIN	55359	5540 Pioneer Creek		763-479-7474	US	MN	Maple Plain	55359	5540 Pioneer Creek				000000000			1-LAF	0	1231	8-K	20190731			20190802	2019-08-02 09:00:00.0	0	0	prlb20190730_8k_htm.xml	1	
0001437749-19-015254	921183	HMN FINANCIAL INC	6035	US	MN	ROCHESTER	55901	1016 CIVIC CENTER DRIVE NORTHWEST		5075351200	US	MN	ROCHESTER	55901	1016 CIVIC CENTER DRIVE NW		US	DE	411777397			4-NON	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 09:40:00.0	0	1	hmnf-20190630.xml	1	
0001437749-19-015279	702513	BANK OF COMMERCE HOLDINGS	6022	US	CA	REDDING	96002	1901 CHURN CREEK ROAD		(800) 421-2575	US	CA	REDDING	96002	1901 CHURN CREEK ROAD		US	CA	942823865	REDDING BANCORP	19920703	2-ACC	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 13:29:00.0	0	1	boch-20190630.xml	1	
0001437749-19-015302	798287	PAM TRANSPORTATION SERVICES INC	4213	US	AR	TONTITOWN	72770	297 WEST HENRI DE TONTI BLVD		4793619111	US	AR	TONTITOWN	72770	297 WEST HENRI DE TONTI BLVD		US	DE	710633135			2-ACC	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 14:57:00.0	0	1	ptsi-20190630.xml	1	
0001437749-19-015305	1358356	LIMESTONE BANCORP, INC.	6021	US	KY	LOUISVILLE	40223	2500 EASTPOINT PARKWAY		502-499-4800	US	KY	LOUISVILLE	40223	2500 EASTPOINT PARKWAY		US	KY	611142247	PORTER BANCORP, INC.	20060405	2-ACC	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 16:04:00.0	0	1	lmst-20190630.xml	1	
0001437749-19-015315	1280452	MONOLITHIC POWER SYSTEMS INC	3674	US	WA	KIRKLAND	98033	4040 LAKE WASHINGTON BLVD. NE	SUITE 201	425-296-9956	US	WA	KIRKLAND	98033	4040 LAKE WASHINGTON BLVD. NE	SUITE 201	US	DE	770466789			1-LAF	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 16:30:00.0	0	1	mpwr20190630_10q_htm.xml	1	
0001437749-19-015320	859070	FIRST COMMUNITY BANKSHARES INC /VA/	6022	US	VA	BLUEFIELD	24605	PO BOX 989		3043236300	US	VA	BLUEFIELD	24605	29 COLLEGE DRIVE	P O BOX 989	US	VA	550694814	FIRST COMMUNITY BANCSHARES INC /NV/	19971121	2-ACC	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 16:49:00.0	0	1	fcbc-20190630.xml	1	
0001437749-19-015333	1594686	WASHINGTON PRIME GROUP INC.	6798	US	OH	COLUMBUS	43215	180 EAST BROAD STREET		(614) 621-9000	US	OH	COLUMBUS	43215	180 EAST BROAD STREET				000000000	WP GLIMCHER INC.	20150521	1-LAF	0	1231	8-K	20190731			20190802	2019-08-02 17:27:00.0	0	0	wpg20190802b_8k_htm.xml	1	
0001437749-19-015336	353020	AEGION CORP	1623	US	MO	CHESTERFIELD	63005	17988 EDISON AVENUE		6365308000	US	MO	CHESTERFIELD	63005	17988 EDISON AVENUE		US	DE	133032158	INSITUFORM TECHNOLOGIES INC	19930617	1-LAF	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 17:31:00.0	0	1	aegn20190630_10q_htm.xml	1	
0001439095-19-000026	1439095	MRC GLOBAL INC.	5084	US	TX	HOUSTON	77010	FULBRIGHT TOWER	1301 MCKINNEY STREET, SUITE 2300	877.294.7574	US	TX	HOUSTON	77010	FULBRIGHT TOWER	1301 MCKINNEY STREET, SUITE 2300	US	DE	205956993	MCJUNKIN RED MAN HOLDING CORP	20080702	1-LAF	0	1231	10-Q	20190630	2019	Q2	20190802	2019-08-02 11:52:00.0	0	1	mrc-20190630x10q_htm.xml	1	
